city,site,season,species,count,lat,long,days.active,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income,Pct_Units_Lead,PM2.5_Count,Average_PTSDF,Prox_Heavy_Traffic_Roadways,Average_PNPL,Average_RSEI_Concentrations,Average_PWDIS,Annual_Tons_Km2_Diesel_NOx,LEAD_PCT,PM25_PCT,HAZARD_PCT,TRAFFIC_PCT,PNPL_PCT,TOXIC_PCT,PWDIS_PCT,DIESEL_PCT,EXPOSURE,EFFECT,BURDEN,BURDEN_SCALED,BURDEN_PERCENTILE,pop_density
tawa,G-CBP1,Winter19,Coyote,7,47.1883201599121,-122.426826477051,35,543422.44555761,5226251.1264054,0.00401606425702811,0,0,0,0.00745840504876649,0.0163511187607573,0,0.00803212851405622,0,0,0,0,0,0.00458978772231784,0,0,0.959552495697074,0,0,12.69,0.318735258494295,9.17957544463568,0,0.169363742211833,0.0278255880665519,0.00803212851405622,0,0.0358577165806081,0.0358577165806081,0.040447504302926,0.959552495697074,tawa_G-CBP1,22.2525773195876,48477.3179086538,182.15384615384616,213,103.53846153846152,112.3846153846154,14,140.69230769230768,328,84.92307692307692,22,68,24,15,39,29,55,14,37,17.5,36.333333333333336,5.769739744155272,28,2429.56103046124
tawa,P-OB,Winter20,Coyote,1,47.3131904602051,-122.530456542969,37,535488.147752834,5240075.67694701,0.396156052782559,0,0,0,0.0152036718301779,0.0189328743545611,0,0,0,0,0,0,0,0,0,0.00545037292025244,0.0981067125645439,0,0,19.53,2.23114680946006,60.4322050105183,60,0.945535069020406,0.430292598967298,0,0,0.430292598967298,0.430292598967298,0.43574297188755,0.0981067125645439,tawa_P-OB,2.21692969870875,84868,186,75,69,260,9,33,328,32,27,16,16,61,28,6,68,10,10.666666666666666,17.375,18.694444444444443,2.968681076312307,9,0
tawa,P-OB,Fall19,Coyote,1,47.3131904602051,-122.530456542969,36,535488.147752834,5240075.67694701,0.396156052782559,0,0,0,0.0152036718301779,0.0189328743545611,0,0,0,0,0,0,0,0,0,0.00545037292025244,0.0981067125645439,0,0,19.53,2.23114680946006,60.4322050105183,60,0.945535069020406,0.430292598967298,0,0,0.430292598967298,0.430292598967298,0.43574297188755,0.0981067125645439,tawa_P-OB,2.21692969870875,84868,186,75,69,260,9,33,328,32,27,16,16,61,28,6,68,10,10.666666666666666,17.375,18.694444444444443,2.968681076312307,9,0
tawa,P-RP,Spring19,Coyote,7,47.2971992492676,-122.512252807617,38,536875.104823806,5238306.99048326,0,0,0,0,2.8620492272467e-4,0,0,0.00400686891814539,0,0.0048654836863194,0,0,0,0,0,0.00429307384087006,0.909845449341729,0,0,1.0575,1.27202187877631,8.96775424537302,63.5410196624968,0.340880063163171,2.8620492272467e-4,0.00400686891814539,0.0048654836863194,0.00429307384087006,0.00915855752718947,0.0134516313680595,0.909845449341729,tawa_P-RP,20.8805970149254,84760.1568080357,186,75,69,260,9,33,328,32,29,19,18,63,30,8,71,12,13,18.5,21,3.33480370533745,13,1820.63284067007
tawa,P-RP,Spring20,Coyote,8,47.2971992492676,-122.512252807617,51,536875.104823806,5238306.99048326,0,0,0,0,2.8620492272467e-4,0,0,0.00400686891814539,0,0.0048654836863194,0,0,0,0,0,0.00429307384087006,0.909845449341729,0,0,1.0575,1.27202187877631,8.96775424537302,63.5410196624968,0.340880063163171,2.8620492272467e-4,0.00400686891814539,0.0048654836863194,0.00429307384087006,0.00915855752718947,0.0134516313680595,0.909845449341729,tawa_P-RP,20.8805970149254,84760.1568080357,186,75,69,260,9,33,328,32,29,19,18,63,30,8,71,12,13,18.5,21,3.33480370533745,13,1820.63284067007
tawa,P-RP,Winter19,Coyote,13,47.2971992492676,-122.512252807617,37,536875.104823806,5238306.99048326,0,0,0,0,2.8620492272467e-4,0,0,0.00400686891814539,0,0.0048654836863194,0,0,0,0,0,0.00429307384087006,0.909845449341729,0,0,1.0575,1.27202187877631,8.96775424537302,63.5410196624968,0.340880063163171,2.8620492272467e-4,0.00400686891814539,0.0048654836863194,0.00429307384087006,0.00915855752718947,0.0134516313680595,0.909845449341729,tawa_P-RP,20.8805970149254,84760.1568080357,186,75,69,260,9,33,328,32,29,19,18,63,30,8,71,12,13,18.5,21,3.33480370533745,13,1820.63284067007
tawa,P-RP,Winter20,Coyote,25,47.2971992492676,-122.512252807617,35,536875.104823806,5238306.99048326,0,0,0,0,2.8620492272467e-4,0,0,0.00400686891814539,0,0.0048654836863194,0,0,0,0,0,0.00429307384087006,0.909845449341729,0,0,1.0575,1.27202187877631,8.96775424537302,63.5410196624968,0.340880063163171,2.8620492272467e-4,0.00400686891814539,0.0048654836863194,0.00429307384087006,0.00915855752718947,0.0134516313680595,0.909845449341729,tawa_P-RP,20.8805970149254,84760.1568080357,186,75,69,260,9,33,328,32,29,19,18,63,30,8,71,12,13,18.5,21,3.33480370533745,13,1820.63284067007
tawa,P-RP,Summer19,Coyote,8,47.2971992492676,-122.512252807617,36,536875.104823806,5238306.99048326,0,0,0,0,2.8620492272467e-4,0,0,0.00400686891814539,0,0.0048654836863194,0,0,0,0,0,0.00429307384087006,0.909845449341729,0,0,1.0575,1.27202187877631,8.96775424537302,63.5410196624968,0.340880063163171,2.8620492272467e-4,0.00400686891814539,0.0048654836863194,0.00429307384087006,0.00915855752718947,0.0134516313680595,0.909845449341729,tawa_P-RP,20.8805970149254,84760.1568080357,186,75,69,260,9,33,328,32,29,19,18,63,30,8,71,12,13,18.5,21,3.33480370533745,13,1820.63284067007
tawa,P-RP,Fall19,Coyote,11,47.2971992492676,-122.512252807617,36,536875.104823806,5238306.99048326,0,0,0,0,2.8620492272467e-4,0,0,0.00400686891814539,0,0.0048654836863194,0,0,0,0,0,0.00429307384087006,0.909845449341729,0,0,1.0575,1.27202187877631,8.96775424537302,63.5410196624968,0.340880063163171,2.8620492272467e-4,0.00400686891814539,0.0048654836863194,0.00429307384087006,0.00915855752718947,0.0134516313680595,0.909845449341729,tawa_P-RP,20.8805970149254,84760.1568080357,186,75,69,260,9,33,328,32,29,19,18,63,30,8,71,12,13,18.5,21,3.33480370533745,13,1820.63284067007
tawa,P-RP,Fall20,Coyote,14,47.2971992492676,-122.512252807617,37,536875.104823806,5238306.99048326,0,0,0,0,2.8620492272467e-4,0,0,0.00400686891814539,0,0.0048654836863194,0,0,0,0,0,0.00429307384087006,0.909845449341729,0,0,1.0575,1.27202187877631,8.96775424537302,63.5410196624968,0.340880063163171,2.8620492272467e-4,0.00400686891814539,0.0048654836863194,0.00429307384087006,0.00915855752718947,0.0134516313680595,0.909845449341729,tawa_P-RP,20.8805970149254,84760.1568080357,186,75,69,260,9,33,328,32,29,19,18,63,30,8,71,12,13,18.5,21,3.33480370533745,13,1820.63284067007
