site,city,season,lat,long,days.active,Black bear,Black-tailed deer,Bobcat,Coyote,Douglas squirrel,Eastern cottontail rabbit,Eastern gray squirrel,Elk,Fox squirrel,Mountain lion,Raccoon,River otter,Striped skunk,Virginia opossum,Weasel (cannot ID),Western Chipmunks,Western gray squirrel,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,prop_ndvi_0.5,prop_ndvi_0.6,prop_ndvi_avg,POPDEN2020,med_income,Impervious,city_site,units_lead,pm2.5_count,avg_ptsdf,prox_heavy_traffic,avg_pnpl,avg_rsei,avg_pwdis,diesel_tons_km2,avg_prmp,avg_ozone,TAWA_LEAD_PCT,TAWA_PM25_PCT,TAWA_PTSDF_PCT,TAWA_TRAFFIC_PCT,TAWA_PNPL_PCT,TAWA_TOXIC_PCT,TAWA_PWDIS_PCT,TAWA_OZONE_PCT,TAWA_DIESEL_PCT,TAWA_PRMP_PCT,TAWA_EXPOSURE,TAWA_RISK,TAWA_BURDEN,TAWA_BURDEN_SCALED,TAWA_BURDEN_PERCENTILE
G-SB,tawa,Summer19,47.2981910705566,-122.529968261719,36,0,12,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
G-SB,tawa,Summer20,47.2981910705566,-122.529968261719,44,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
G-SB,tawa,Winter19,47.2981910705566,-122.529968261719,35,0,5,0,3,1,0,10,0,0,0,1,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
G-SB,tawa,Winter20,47.2981910705566,-122.529968261719,37,0,3,0,0,0,0,28,0,0,0,3,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
G-TNC1,tawa,Fall19,47.2403259277344,-122.490310668945,36,0,4,0,0,1,3,121,0,0,0,8,0,0,1,0,0,0,0.0370061213132999,0,0,0,0,0.00500834724540901,0,0,0,0.00194769059543684,0,0,0,0.00417362270450751,0,0.00166944908180301,0.950194769059544,0,0,5.37,0.927471712112781,14.4685587089594,270.880074906351,0.197941357927201,0.042014468558709,0,0.00194769059543684,0.042014468558709,0.0439621591541458,0.0498052309404563,0.950194769059544,0.394962415930371,0.278649610971911,0.46306651919097,1538.07104492188,51703.21484375,58.9044036865234,tawa_G-TNC1,621.366943359375,0.439851135015488,2.29667091369629,135471.671875,0.42327031493187,1646.5146484375,1.10000000219657e-8,15.626371383667,0.694644570350647,54.3919258117676,32,20,24,27,31,23,2,6,28,28,19.25,14.375,22.4166666666667,7.0976253298153,21
G-TNC1,tawa,Fall20,47.2403259277344,-122.490310668945,39,0,10,0,3,0,1,159,0,0,0,17,0,0,0,0,0,0,0.0370061213132999,0,0,0,0,0.00500834724540901,0,0,0,0.00194769059543684,0,0,0,0.00417362270450751,0,0.00166944908180301,0.950194769059544,0,0,5.37,0.927471712112781,14.4685587089594,270.880074906351,0.197941357927201,0.042014468558709,0,0.00194769059543684,0.042014468558709,0.0439621591541458,0.0498052309404563,0.950194769059544,0.394962415930371,0.278649610971911,0.46306651919097,1538.07104492188,51703.21484375,58.9044036865234,tawa_G-TNC1,621.366943359375,0.439851135015488,2.29667091369629,135471.671875,0.42327031493187,1646.5146484375,1.10000000219657e-8,15.626371383667,0.694644570350647,54.3919258117676,32,20,24,27,31,23,2,6,28,28,19.25,14.375,22.4166666666667,7.0976253298153,21
G-TNC1,tawa,Spring19,47.2403259277344,-122.490310668945,38,0,7,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,0.0370061213132999,0,0,0,0,0.00500834724540901,0,0,0,0.00194769059543684,0,0,0,0.00417362270450751,0,0.00166944908180301,0.950194769059544,0,0,5.37,0.927471712112781,14.4685587089594,270.880074906351,0.197941357927201,0.042014468558709,0,0.00194769059543684,0.042014468558709,0.0439621591541458,0.0498052309404563,0.950194769059544,0.394962415930371,0.278649610971911,0.46306651919097,1538.07104492188,51703.21484375,58.9044036865234,tawa_G-TNC1,621.366943359375,0.439851135015488,2.29667091369629,135471.671875,0.42327031493187,1646.5146484375,1.10000000219657e-8,15.626371383667,0.694644570350647,54.3919258117676,32,20,24,27,31,23,2,6,28,28,19.25,14.375,22.4166666666667,7.0976253298153,21
G-TNC1,tawa,Spring20,47.2403259277344,-122.490310668945,46,0,52,0,8,1,0,80,0,0,0,5,0,0,0,0,0,0,0.0370061213132999,0,0,0,0,0.00500834724540901,0,0,0,0.00194769059543684,0,0,0,0.00417362270450751,0,0.00166944908180301,0.950194769059544,0,0,5.37,0.927471712112781,14.4685587089594,270.880074906351,0.197941357927201,0.042014468558709,0,0.00194769059543684,0.042014468558709,0.0439621591541458,0.0498052309404563,0.950194769059544,0.394962415930371,0.278649610971911,0.46306651919097,1538.07104492188,51703.21484375,58.9044036865234,tawa_G-TNC1,621.366943359375,0.439851135015488,2.29667091369629,135471.671875,0.42327031493187,1646.5146484375,1.10000000219657e-8,15.626371383667,0.694644570350647,54.3919258117676,32,20,24,27,31,23,2,6,28,28,19.25,14.375,22.4166666666667,7.0976253298153,21
G-TNC1,tawa,Summer19,47.2403259277344,-122.490310668945,35,0,1,0,2,2,0,44,0,0,0,10,0,0,0,0,1,0,0.0370061213132999,0,0,0,0,0.00500834724540901,0,0,0,0.00194769059543684,0,0,0,0.00417362270450751,0,0.00166944908180301,0.950194769059544,0,0,5.37,0.927471712112781,14.4685587089594,270.880074906351,0.197941357927201,0.042014468558709,0,0.00194769059543684,0.042014468558709,0.0439621591541458,0.0498052309404563,0.950194769059544,0.394962415930371,0.278649610971911,0.46306651919097,1538.07104492188,51703.21484375,58.9044036865234,tawa_G-TNC1,621.366943359375,0.439851135015488,2.29667091369629,135471.671875,0.42327031493187,1646.5146484375,1.10000000219657e-8,15.626371383667,0.694644570350647,54.3919258117676,32,20,24,27,31,23,2,6,28,28,19.25,14.375,22.4166666666667,7.0976253298153,21
G-TNC1,tawa,Summer20,47.2403259277344,-122.490310668945,28,0,8,0,1,2,13,78,0,0,0,0,0,0,0,0,2,0,0.0370061213132999,0,0,0,0,0.00500834724540901,0,0,0,0.00194769059543684,0,0,0,0.00417362270450751,0,0.00166944908180301,0.950194769059544,0,0,5.37,0.927471712112781,14.4685587089594,270.880074906351,0.197941357927201,0.042014468558709,0,0.00194769059543684,0.042014468558709,0.0439621591541458,0.0498052309404563,0.950194769059544,0.394962415930371,0.278649610971911,0.46306651919097,1538.07104492188,51703.21484375,58.9044036865234,tawa_G-TNC1,621.366943359375,0.439851135015488,2.29667091369629,135471.671875,0.42327031493187,1646.5146484375,1.10000000219657e-8,15.626371383667,0.694644570350647,54.3919258117676,32,20,24,27,31,23,2,6,28,28,19.25,14.375,22.4166666666667,7.0976253298153,21
