"city","site","utm_est","utm_nrt","for_ever_temp","for_ever_taig","for_ever_trop","for_dec_trop","for_dec_temp","for_mix","shrub_trop","shrub_temp","grass_trop","grass_temp","shrub_lich","grass_lich","barren_lich","wetland","cropland","barren","urban","water","ice","mpa_undev","pd_undev","ed_undev","enn_mn_undev","sdhi","for_all","shrub_all","grass_all","veg_woody","veg_all","natural","develop","city_site","Impervious"
"tawa","B-TP",533873.085671211,5233322.43654104,0.0254649499284692,0,0,0,0.02689556509299,0.0228898426323319,0,0,0,0,0,0,0,0,0,0.0331902718168813,0.387696709585122,0,0,6.822,1.58957240502305,27.6585598474011,62.8328157299975,0.953634994173416,0.0752503576537911,0,0,0.0752503576537911,0.0752503576537911,0.108440629470672,0.387696709585122,"tawa_B-TP",8.95269495412844
"tawa","G-CBP1",543422.44555761,5226251.1264054,0.00401606425702811,0,0,0,0.00745840504876649,0.0163511187607573,0,0.00803212851405622,0,0,0,0,0,0.00458978772231784,0,0,0.959552495697074,0,0,12.69,0.318735258494295,9.17957544463568,0,0.169363742211833,0.0278255880665519,0.00803212851405622,0,0.0358577165806081,0.0358577165806081,0.040447504302926,0.959552495697074,"tawa_G-CBP1",22.2525773195876
"tawa","G-CLP3",537039.842947305,5232645.33416642,0.0263610315186246,0,0,0,0.00200573065902579,0.00315186246418338,0,0,0,0.00401146131805158,0,0,0,0.00343839541547278,0,0,0.961031518624642,0,0,3.06,1.27347978350844,12.225405921681,449.558446992749,0.164651955823063,0.0315186246418338,0,0.00401146131805158,0.0315186246418338,0.0355300859598854,0.0389684813753582,0.961031518624642,"tawa_G-CLP3",22.1844743626468
"tawa","G-FN1",535470.924045999,5239009.33735036,0.351506456241033,0,0,0,0.00688665710186514,0.0203730272596844,0,0.00172166427546628,0,0.0048780487804878,0,0,0,0,0,0.0117647058823529,0.310473457675753,0,0,12.456,3.18826717678942,73.5533237685318,60.7082039324994,1.08943722092733,0.378766140602583,0.00172166427546628,0.0048780487804878,0.380487804878049,0.385365853658537,0.39713055954089,0.310473457675753,"tawa_G-FN1",7.37976497563772
"tawa","G-FP1",539350.160475069,5232700.12957937,0.000573394495412844,0,0,0,0,0.00315366972477064,0,0,0,0,0,0,0,0,0,0,0.996272935779816,0,0,0.585,0.63710499490316,1.52905198776758,295.465734053883,0.0245623542108796,0.00372706422018349,0,0,0.00372706422018349,0.00372706422018349,0.00372706422018349,0.996272935779816,"tawa_G-FP1",22.8812733008317
"tawa","G-IP",540641.985247861,5231492.56715658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"tawa_G-IP",22.9183147033534
"tawa","G-JP",538601.615425677,5233888.18118134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"tawa_G-JP",22.8718095784342
"tawa","G-KP1",537186.124126184,5235270.06948225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"tawa_G-KP1",22.9547148179994
"tawa","G-OTP",539634.655015839,5226175.36298594,0.00143389733295096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998566102667049,0,0,0.45,0.31864385176688,0.764745244240512,0,0.0108211096109152,0.00143389733295096,0,0,0.00143389733295096,0.00143389733295096,0.00143389733295096,0.998566102667049,"tawa_G-OTP",23.1439632922283
"tawa","G-SB",535535.102914393,5238408.98666527,0.206362854686156,0,0,0,0.00315276583548295,0.0243622814560046,0,0,0,0.000286615075952995,0,0,0,0,0,0.0114646030381198,0.377472055030095,0,0,19.2825,1.27384478201331,41.6547243718353,115.754858490425,1.08037192740093,0.233877901977644,0,0.000286615075952995,0.233877901977644,0.234164517053597,0.245629120091717,0.377472055030095,"tawa_G-SB",9.01493394600804
"tawa","G-SERA",538536.078906478,5227825.30602233,0.00431158378844496,0,0,0,0,0.00833572865766025,0,0,0,0.00402414486921529,0,0,0,0,0.0114975567691865,0,0.971830985915493,0,0,2.61,0.638753153843697,5.74877838459327,240,0.147366115729231,0.0126473124461052,0,0.00402414486921529,0.0126473124461052,0.0166714573153205,0.0166714573153205,0.98332854268468,"tawa_G-SERA",22.5573394495413
"tawa","G-SP",539315.389443331,5228726.65803785,0,0,0,0,0,0,0,0.00314915545376467,0,0.0243343830518179,0,0,0,0,0.041511594617807,0.00572573718866304,0.925279129687947,0,0,1.74,1.90857906288768,16.4137799408341,289.535435649282,0.317013008878121,0,0.00314915545376467,0.0243343830518179,0.00314915545376467,0.0274835385055826,0.0332092756942456,0.966790724305754,"tawa_G-SP",21.28215411057
"tawa","G-TCC1",536429.855554968,5232689.86927146,0.0246488965319576,0,0,0,0.00200630553167097,0.00315276583548295,0,0,0,0.00200630553167097,0,0,0,0.00343938091143594,0,0,0.964746345657782,0,0,5.535,0.636922391006656,8.98060571319385,457.930125674212,0.152554844419266,0.0298079678991115,0,0.00200630553167097,0.0298079678991115,0.0318142734307825,0.0352536543422184,0.964746345657782,"tawa_G-TCC1",22.3099398453165
"tawa","G-TNC1",538575.291598906,5231997.19753371,0.0381416690564956,0,0,0,0,0.00516203039862346,0,0,0,0.00200745626613135,0,0,0,0.00430169199885288,0,0.00172067679954115,0.948666475480356,0,0,5.37,0.955931555300641,14.91253226269,270.880074906351,0.202423161683261,0.043303699455119,0,0.00200745626613135,0.043303699455119,0.0453111557212504,0.0513335245196444,0.948666475480356,"tawa_G-TNC1",21.755600229753
"tawa","G-VP",536300.309476392,5236384.20168092,0.0476737507179782,0,0,0,0.0649052268811028,0.0697874784606548,0,0,0,0.00315910396323952,0,0,0,0.00143595634692705,0,0,0.770246984491672,0,0,29.295,0.638202820856468,21.1564235113919,60,0.64942908647205,0.182366456059736,0,0.00315910396323952,0.182366456059736,0.185525560022975,0.186961516369902,0.770246984491672,"tawa_G-VP",17.9977037887486
"tawa","G-WLP1",539969.99953159,5225219.92680218,0.0191867124856816,0,0,0,0.00229095074455899,0.00200458190148912,0,0,0,0,0,0,0,0.0100229095074456,0,0,0.966494845360825,0,0,2.6325,1.27275041364388,11.0729285987018,167.936717991775,0.146722861824552,0.0234822451317297,0,0,0.0234822451317297,0.0234822451317297,0.0335051546391753,0.966494845360825,"tawa_G-WLP1",22.3551803091013
