"","city","site","units_lead","pm2.5_count","avg_ptsdf","prox_heavy_traffic","avg_pnpl","avg_rsei","avg_pwdis","diesel_tons_km2","avg_prmp","avg_ozone","SEWA_LEAD_PCT","SEWA_PM25_PCT","SEWA_PTSDF_PCT","SEWA_TRAFFIC_PCT","SEWA_PNPL_PCT","SEWA_TOXIC_PCT","SEWA_PWDIS_PCT","SEWA_OZONE_PCT","SEWA_DIESEL_PCT","SEWA_PRMP_PCT","SEWA_EXPOSURE","SEWA_RISK","SEWA_BURDEN","SEWA_BURDEN_SCALED","SEWA_BURDEN_PERCENTILE"
"16","sewa","MGP1",282.753356933594,0.449755549430847,1.11299884319305,69731.9296875,0.0800251364707947,2687.87915039062,3.44363870681264e-05,6.57991886138916,0.120313055813313,47.1751403808594,13,18,9,11,12,8,16,6,11,4,10.75,4.75,10.3333333333333,3.58381502890173,5
"17","sewa","MPO1",109.320831298828,0.383472383022308,0.215926453471184,39256.890625,0.201687082648277,4715.0087890625,4.72254413352857e-07,3.7944118976593,0.887447714805603,54.8398132324219,5,4,6,5,21,14,4,31,7,18,14,6.25,13.5,4.68208092485549,12
"18","sewa","MSR1",460.897857666016,0.608748614788055,14.8145694732666,241070.03125,0.414546281099319,31055.521484375,0.00069454126060009,30.5758380889893,3.44046878814697,47.0186233520508,22,29,31,31,26,29,19,4,30,33,23,14,24.6666666666667,8.55491329479769,28
"19","sewa","MWP1",457.703979492188,0.617654740810394,15.7420930862427,255325.109375,0.731558263301849,64798.23046875,0.00218713539652526,72.096305847168,3.43148708343506,45.0192375183105,21,32,32,33,31,31,25,1,32,32,24,14.5,25.6666666666667,8.90173410404624,30
"20","sewa","NRP1",169.665130615234,0.421798408031464,3.71784400939941,209619.359375,0.0599999986588955,8254.640625,1.61099592332903e-06,17.3865814208984,0.770943105220795,50.0327835083008,12,10,17,26,10,19,7,12,20,17,15.25,7,14.8333333333333,5.14450867052023,15
"21","sewa","PGP1",536.419372558594,0.613836705684662,9.15058994293213,151363.625,1.19676470756531,76122.3359375,0.00104272714816034,51.0757904052734,2.32429313659668,52.3134689331055,24,31,25,21,32,32,21,23,31,29,29.25,13.75,28.6666666666667,9.94219653179191,32
"22","sewa","PHN1",857.042541503906,0.444061040878296,8.24829959869385,88047.4609375,0.103112496435642,5936.1103515625,1.93612831935752e-05,20.8353939056396,0.970369040966034,48.8975410461426,30,16,23,13,15,17,11,10,21,20,16,11,18,6.24277456647399,19
"23","sewa","RHF1",126.280250549316,0.408043593168259,0.129595130681992,23465.3359375,0.0377650074660778,1204.71276855469,2.90999992103025e-07,1.54453122615814,0.100500844419003,52.5020904541016,6,7,5,3,3,3,1,27,4,3,10.25,2.125,8.25,2.86127167630058,3
"24","sewa","RVP1",825.08837890625,0.45811727643013,5.1115026473999,190407.9375,0.0938615426421165,4095.90356445312,7.0469477577717e-06,27.614294052124,0.215508133172989,46.9168472290039,28,23,18,24,14,12,8,3,26,8,16,8.5,16.3333333333333,5.66473988439306,17
"25","sewa","RWP1",33.2607307434082,0.388611227273941,0.325540512800217,31236.001953125,0.0399999991059303,1392.998046875,2.96507892016962e-07,2.83782172203064,0.131086364388466,52.3770713806152,1,5,7,4,4,4,2,26,6,5,10.25,2.125,8.25,2.86127167630058,4
"26","sewa","SVP1",59.0307579040527,0.425449162721634,3.68738079071045,141925.578125,0.0550398677587509,2970.31860351562,7.89621424246434e-07,11.6246871948242,1.18197548389435,51.3523216247559,4,12,16,19,8,10,6,20,16,22,14.5,6.25,13.8333333333333,4.79768786127168,13
"27","sewa","SWD1",40.0300979614258,0.419935673475266,1.83664298057556,90487.125,0.0480549298226833,2410.13037109375,3.67102217069259e-07,5.44535207748413,0.457568317651749,52.3298377990723,2,9,13,14,6,7,3,24,10,14,12.5,4.375,11.25,3.90173410404624,7
"28","sewa","TCC1",164.920318603516,0.422573685646057,3.36676144599915,122758.921875,0.312171965837479,4344.30126953125,0.00216043926775455,12.094988822937,0.651664614677429,53.773567199707,11,11,15,17,23,13,24,30,17,16,17.75,8.125,17.25,5.98265895953757,18
"29","sewa","TMF1",297.000030517578,0.376994639635086,0.0700000002980232,67000,0.150000020861626,2809.18017578125,NA,0.839999973773956,0.25,56.6521224975586,14,2,1,10,19,9,NA,33,2,10,11.5,5.5,11.3333333333333,3.93063583815029,8
"30","sewa","TMP1",649.541931152344,0.618502259254456,10.5675497055054,177338,1.44930899143219,102787.578125,0.0017424087272957,77.1113052368164,2.62782454490662,50.5100021362305,26,33,27,23,33,33,23,16,33,30,28.75,14.5,28.8333333333333,10,33
"31","sewa","TRN1",147.000015258789,0.383397102355957,0.0900000035762787,41000,0.430000007152557,1700.31005859375,NA,2.25000023841858,0.25,55.4303436279297,9,3,3,6,27,5,NA,32,5,11,11.25,6.25,11.6666666666667,4.04624277456647,10
"32","sewa","WCP2",612.625427246094,0.585625767707825,13.1953067779541,123758.4140625,0.276528239250183,19582.31640625,0.00115555350203067,25.2269229888916,1.65935790538788,51.8477516174316,25,26,29,18,22,28,22,21,25,27,25,12.875,25.25,8.75722543352601,29
"33","sewa","WDG1",406.666198730469,0.609399795532227,11.2420034408569,150237.453125,0.586072564125061,32010.640625,0.000978196156211197,24.1096210479736,2.197589635849,52.1801376342773,18,30,28,20,29,30,20,22,24,28,26.5,12.875,26.25,9.10404624277457,31
