city,site,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income
sewa,NRP1,562039.141,5281853.506,0.020630372,0,0,0,0.013467049,0.021489971,0,0,0,0,0,0,0,0.004584527,0.002578797,0,0.935530086,0.001719198,0,1.718181818,3.502069405,25.21489971,121.4532199,0.257776708,0.055587393,0,0,0.055587393,0.055587393,0.06017192,0.938108883,sewa_NRP1,21.76997995,131624.284
sewa,PGP2,548259.9408,5267229.436,0,0,0,0,0.171346705,0.033524355,0,0,0,0.002292264,0,0,0,0.055014327,0.001432665,0.007163324,0.680229226,0.048997135,0,5.64,4.775549188,63.99235912,72.19450871,0.772581399,0.20487106,0,0.002292264,0.20487106,0.207163324,0.269340974,0.681661891,sewa_PGP2,16.1046445,87589.51198
sewa,PHN1,548057.5983,5280077.274,0.00516055,0,0,0,0,0,0,0.038130734,0,0,0,0,0,0,0,0.001720183,0.954988532,0,0,3.5325,1.27420999,16.43730887,69.27050983,0.18355617,0.00516055,0.038130734,0,0.043291284,0.043291284,0.045011468,0.954988532,sewa_PHN1,21.86787045,116172.9035
sewa,PHY1,548073.9892,5279910.69,0.008039047,0,0,0,0,0,0,0.042779213,0,0,0,0,0,0,0,0.001722653,0.947459087,0,0,3.294,1.595048968,20.097617,71.04971552,0.20592991,0.008039047,0.042779213,0,0.05081826,0.05081826,0.052540913,0.947459087,sewa_PHY1,21.64322618,114799.5123
sewa,RHF1,573645.8945,5287936.931,0.09663503,0,0,0,0.077077941,0.455277538,0,0.024733966,0,0.009778545,0,0,0,0.126833477,0.086568881,0,0.123094622,0,0,30.915,2.55648228,58.00019174,66.12905106,0.655640272,0.628990509,0.024733966,0.009778545,0.653724475,0.66350302,0.790336497,0.209663503,sewa_RHF1,3.027244049,149569.801
sewa,RVP1,551705.1221,5280245.817,0.003731343,0,0,0,0.017795637,0.012342135,0,0.006027555,0,0,0,0,0,0.009758898,0.004305396,0.001435132,0.936567164,0.008036739,0,5.34,0.956754688,15.30807501,62.36067977,0.275550963,0.033869116,0.006027555,0,0.03989667,0.03989667,0.0510907,0.94087256,sewa_RVP1,21.15530086,110580.226
sewa,RWP1,571747.4929,5284689.958,0.36139748,0,0,0,0.057560137,0.333619702,0,0.004581901,0,0.004009164,0,0,0,0.080183276,0,0,0.158648339,0,0,66.105,1.272750414,18.13669339,60,0.437421705,0.75257732,0.004581901,0.004009164,0.757159221,0.761168385,0.841351661,0.158648339,sewa_RWP1,3.688,130281.2714
sewa,SVP1,563672.1876,5284056.412,0.007159221,0,0,0,0.079610538,0.00744559,0,0.010882016,0,0.005441008,0,0,0,0.048109966,0.278064147,0,0.563287514,0,0,7.122857143,2.227313224,42.95532646,181.5838236,0.971284575,0.094215349,0.010882016,0.005441008,0.105097365,0.110538373,0.158648339,0.841351661,sewa_SVP1,13.226269,148517.7839
sewa,SWD1,567189.66,5284489.508,0.039609644,0,0,0,0.026119403,0.024971297,0,0,0,0.004305396,0,0,0,0.007462687,0.011768083,0.001435132,0.884328358,0,0,1.416521739,7.335119275,50.51664753,109.7852478,0.396253811,0.090700344,0,0.004305396,0.090700344,0.095005741,0.103903559,0.896096441,sewa_SWD1,20.79259897,198095.5031
sewa,TCC1,561906.2717,5256821.323,0.004872456,0,0,0,0.022355976,0.07681284,0,0,0,0.004585841,0,0,0,0,0.006018917,0.00057323,0.884780739,0,0,3.429,3.184611955,30.09458298,101.5158389,0.380916531,0.104041273,0,0.004585841,0.104041273,0.108627114,0.109200344,0.890799656,sewa_TCC1,21.17766935,80127.53245
