"YearGroup","County","Emissions","Rank"
"2014","53011041110","13.65","8"
"2014","53011041111","11.27","7"
"2014","53011041112","11.27","7"
"2014","53011041201","12.75","8"
"2014","53011041203","11.35","7"
"2014","53011041205","11.27","7"
"2014","53011041206","11.35","7"
"2014","53011041309","12.75","8"
"2014","53011041310","12.75","8"
"2014","53011041312","8.74","6"
"2014","53011041313","11.35","7"
"2014","53011041317","11.35","7"
"2014","53011041318","12.75","8"
"2014","53011041319","11.35","7"
"2014","53011041320","12.75","8"
"2014","53011041321","5.08","4"
"2014","53011041322","12.75","8"
"2014","53011041323","12.75","8"
"2014","53011041325","9.22","6"
"2014","53011041326","11.35","7"
"2014","53011041327","5.08","4"
"2014","53011041328","9.22","6"
"2014","53011041329","9.22","6"
"2014","53011041330","11.35","7"
"2014","53011041331","11.35","7"
"2014","53011041332","11.35","7"
"2014","53011041333","11.35","7"
"2014","53011041400","3.66","3"
"2014","53011041500","3.29","3"
"2014","53011041600","13.65","8"
"2014","53011041700","13.65","8"
"2014","53011041800","13.65","8"
"2014","53011041900","13.65","8"
"2014","53011042000","13.65","8"
"2014","53011042100","13.65","8"
"2014","53011042300","13.65","8"
"2014","53011042400","13.65","8"
"2014","53011042500","13.65","8"
"2014","53011042600","13.65","8"
"2014","53011042700","13.65","8"
"2014","53011042800","13.65","8"
"2014","53011042900","11.27","7"
"2014","53011043000","11.27","7"
"2014","53011043100","11.27","7"
"2014","53013960200","0.51","1"
"2014","53015000300","6.33","5"
"2014","53015000400","6.37","5"
"2014","53015000501","6.33","5"
"2014","53015000502","6.33","5"
"2014","53015000601","6.37","5"
"2014","53015000602","6.37","5"
"2014","53015000702","6.37","5"
"2014","53015000703","3.67","3"
"2014","53015000704","3.67","3"
"2014","53015000800","6.37","5"
"2014","53015000900","6.37","5"
"2014","53015001000","6.37","5"
"2014","53015001100","6.37","5"
"2014","53015001200","5.29","4"
"2014","53015001300","6.37","5"
"2014","53015001501","0.81","1"
"2014","53015001502","6","5"
"2014","53015001600","5.52","5"
"2014","53015001700","5.52","5"
"2014","53015001800","0.42","1"
"2014","53015001900","3.67","3"
"2014","53015002001","4.23","4"
"2014","53015002002","4.12","3"
"2014","53015002100","6.37","5"
"2014","53017950100","0.6","1"
"2014","53017950200","1.2","1"
"2014","53017950300","2.9","3"
"2014","53017950400","5.49","5"
"2014","53017950500","4.37","4"
"2014","53017950600","4.37","4"
"2014","53017950700","4.37","4"
"2014","53017950800","4.37","4"
"2014","53019940000","0.19","1"
"2014","53019970100","0.22","1"
"2014","53019970200","0.19","1"
"2014","53021020100","7.83","6"
"2014","53021020200","7.83","6"
"2014","53021020300","7.83","6"
"2014","53021020400","7.83","6"
"2014","53021020501","5.94","5"
"2014","53021020502","7.83","6"
"2014","53021020601","5.94","5"
