State FIPS Code,Rank
53015001600,7
53015001700,2
53015001800,1
53015001900,4
53015002001,2
53015002002,1
53015002100,9
53017950100,5
53017950200,5
53017950300,3
53017950400,4
53017950500,5
53017950600,4
53017950700,4
53017950800,3
53019940000,2
53019970100,2
53019970200,1
53021020100,9
53021020200,9
53021020300,8
53021020400,8
53021020501,5
53021020502,7
53021020601,5
53021020603,4
53021020605,4
53021020606,3
53021020700,7
53021020800,4
53021980100,1
53023970300,7
53025010100,5
53025010200,7
53025010300,3
53025010400,6
53025010500,3
53025010600,6
53025010700,3
53025010800,9
53025010901,8
53025010902,7
53025011000,8
53025011100,6
53025011200,3
53025011300,3
53025011401,1
53025011402,3
53027000200,1
53027000300,2
53027000400,4
53027000500,4
53027000600,2
53027000700,4
53027000800,4
53027000900,6
53027001000,7
53027001100,7
53027001200,8
53027001300,7
53027001400,4
53027001500,4
53027001600,2
53027940000,2
53027990000,1
53029970100,3
53029970200,5
53029970300,3
53029970400,3
53029970500,2
53029970601,2
53029970602,2
53029970700,3
53029970800,4
53029970900,2
53029971000,2
53029971100,1
53029971300,2
53029971400,2
53029971500,2
53029971600,1
53029971700,1
53029971800,1
53029971900,1
53029972000,1
53029972100,2
53029992201,1
53031950202,2
53031950300,1
53031950400,2
53031950500,2
53031950601,3
53031950602,2
53031950702,1
53031990000,1
53033000100,5
53033000200,6
53033000300,4
53033000401,3
53033000402,4
53033000500,4
53033000600,5
53033000700,6
53033000800,7
53033000900,7
53033001000,7
53033001100,7
53033001200,5
53033001300,5
53033001400,6
53033001500,8
53033001600,8
53033001701,7
53033001702,7
53033001800,6
53033001900,6
53033002000,6
53033002100,7
53033002200,7
53033002400,8
53033002500,7
53033002600,8
53033002700,8
53033002800,8
53033002900,9
53033003000,9
53033003100,9
53033003200,9
53033003300,10
53033003400,9
53033003500,9
53033003600,8
53033003800,7
53033003900,8
53033004000,7
53033004100,8
53033004200,8
53033004301,8
53033004302,7
53033004400,9
53033004500,9
53033004600,9
53033004700,9
53033004800,10
53033004900,9
53033005000,9
53033005100,9
53033005200,9
53033005301,9
53033005302,9
53033005400,9
53033005600,10
53033005700,10
53033005801,9
53033005802,9
53033005900,10
53033006000,10
53033006100,10
53033006200,9
53033006300,9
53033006400,9
53033006500,9
53033006600,9
53033006700,9
53033006800,10
53033006900,10
53033007000,10
53033007100,10
53033007200,10
53033007300,10
53033007401,9
53033007402,10
53033007500,9
53033007600,9
53033007700,9
53033007800,9
53033007900,8
53033008001,10
53033008002,10
53033008100,10
53033008200,10
53033008300,10
53033008400,10
53033008500,10
53033008600,10
53033008700,10
53033008800,9
53033008900,9
53033009000,10
53033009100,10
53033009200,10
53033009300,10
53033009400,10
53033009500,9
53033009600,10
53033009701,8
53033009702,10
53033009800,10
53033009900,10
53033010001,10
53033010002,10
53033010100,9
53033010200,9
53033010300,9
53033010401,10
53033010402,10
53033010500,10
53033010600,10
53033010701,10
53033010702,10
53033010800,10
53033010900,10
53033011001,10
53033011002,10
53033011101,10
53033011102,10
53033011200,10
53033011300,10
53033011401,10
53033011402,10
53033011500,10
53033011600,8
53033011700,10
53033011800,10
53033011900,10
53033012000,8
53033012100,7
53033020100,5
53033020200,5
53033020300,4
53033020401,4
53033020402,5
53033020500,5
53033020600,5
53033020700,4
53033020800,5
53033020900,4
53033021000,4
53033021100,6
53033021300,6
53033021400,6
53033021500,5
53033021600,5
53033021700,6
53033021802,7
53033021803,6
53033021804,7
53033021903,5
53033021904,5
53033021905,6
53033021906,6
53033022001,6
53033022003,5
53033022005,3
53033022006,6
53033022101,5
53033022102,6
53033022201,4
53033022202,5
53033022203,5
53033022300,5
53033022400,7
53033022500,7
53033022603,6
53033022604,7
53033022605,7
53033022606,7
53033022701,7
53033022702,7
53033022703,7
53033022801,7
53033022802,7
53033022803,6
53033022901,7
53033022902,6
53033023000,4
53033023100,5
53033023201,5
53033023202,5
53033023300,6
53033023401,7
53033023403,3
53033023404,3
53033023500,8
53033023601,7
53033023603,5
53033023604,6
53033023700,6
53033023801,8
53033023803,7
53033023804,7
53033023900,8
53033024000,8
53033024100,8
53033024200,8
53033024300,8
53033024400,8
53033024500,8
53033024601,7
53033024602,7
53033024701,8
53033024702,6
53033024800,8
53033024901,5
53033024902,4
53033024903,3
53033025001,6
53033025003,2
53033025005,5
53033025006,2
53033025101,5
53033025102,6
53033025200,8
53033025301,8
53033025302,10
53033025400,8
53033025500,8
53033025601,8
53033025602,6
53033025701,9
53033025702,8
53033025803,9
53033025804,9
53033025805,10
53033025806,10
53033026001,10
53033026002,10
53033026100,10
53033026200,10
53033026300,10
53033026400,10
53033026500,10
53033026600,8
53033026700,8
53033026801,10
53033026802,10
53033027000,10
53033027100,10
53033027200,10
53033027300,10
53033027400,10
53033027500,8
53033027600,8
53033027701,3
53033027702,3
53033027800,7
53033027900,7
53033028000,8
53033028100,10
53033028200,10
53033028300,10
53033028402,9
53033028403,10
53033028500,7
53033028600,7
53033028700,7
53033028801,9
53033028802,9
53033028901,8
53033028902,9
53033029001,6
53033029003,8
53033029004,8
53033029101,9
53033029102,9
53033029203,10
53033029204,10
53033029205,10
53033029206,10
53033029303,9
53033029304,7
53033029305,10
53033029306,9
53033029307,5
53033029403,9
53033029405,6
53033029406,5
53033029407,8
53033029408,7
53033029502,3
53033029503,7
53033029504,5
53033029601,4
53033029602,5
53033029700,10
53033029801,9
53033029802,9
53033029901,9
53033029902,9
53033030003,6
53033030004,4
53033030005,5
53033030006,6
53033030100,5
53033030201,5
53033030202,5
53033030304,8
53033030305,4
53033030306,7
53033030308,6
53033030309,5
53033030310,7
53033030311,7
53033030312,7
53033030313,5
53033030314,5
53033030401,9
53033030403,6
53033030404,9
53033030501,9
53033030503,8
53033030504,9
53033030600,10
53033030700,10
53033030801,9
53033030802,8
53033030901,10
53033030902,8
53033031000,7
53033031100,7
53033031202,3
53033031204,3
53033031205,5
53033031206,5
53033031301,4
53033031302,3
53033031400,4
53033031501,3
53033031502,3
53033031601,2
53033031603,3
53033031604,1
53033031605,2
53033031703,3
53033031704,3
53033031705,3
53033031706,2
53033031800,5
53033031903,6
53033031904,3
53033031906,5
53033031907,5
53033031908,6
53033031909,5
53033032002,5
53033032003,5
53033032005,3
53033032006,1
53033032007,3
53033032008,2
53033032010,2
53033032011,2
53033032102,3
53033032103,4
53033032104,2
53033032203,1
53033032207,2
53033032208,1
53033032210,1
53033032211,1
53033032212,1
53033032213,1
53033032214,1
53033032215,1
53033032307,3
53033032309,7
53033032311,1
53033032313,7
53033032315,1
53033032316,4
53033032317,2
53033032318,2
53033032319,7
53033032320,6
53033032321,4
53033032322,3
53033032323,6
53033032324,7
53033032325,6
53033032326,3
53033032327,2
53033032328,4
53033032329,2
53033032401,1
53033032402,1
53033032500,2
53033032601,3
53033032602,1
53033032702,1
53033032703,3
53033032704,1
53033032800,3
53033990100,1
53035080101,4
53035080102,5
53035080200,5
53035080300,5
53035080400,6
53035080500,7
53035080600,7
53035080700,6
53035080800,4
53035080900,5
53035081000,6
53035081100,7
53035081200,7
53035081400,7
53035090101,1
53035090102,1
53035090201,2
53035090202,3
53035090300,4
53035090400,6
53035090501,6
53035090502,4
53035090700,5
53035090800,5
53035090900,5
53035091000,5
53035091100,8
53035091201,5
53035091203,8
53035091204,6
53035091301,2
53035091302,4
53035091400,6
53035091500,6
53035091600,5
53035091700,5
53035091800,5
53035091900,4
53035092000,3
53035092100,3
53035092200,5
53035092300,3
53035092400,2
53035092500,5
53035092600,3
53035092701,2
53035092704,3
53035092801,2
53035092802,1
53035092803,1
53035092901,1
53035092902,1
53035940000,3
53035940100,5
53035990100,1
53037975100,1
53037975200,1
53037975300,1
53037975401,4
53037975402,6
53037975500,5
53037975600,8
53037975700,2
53039950100,2
53039950200,8
53039950300,6
53041970100,5
53041970200,8
53041970300,8
53041970400,9
53041970500,9
53041970600,10
53041970700,10
53041970800,9
53041970900,10
53041971000,9
53041971100,6
53041971200,2
53041971300,3
53041971400,7
53041971500,3
53041971600,2
53041971700,1
53041971800,1
53041971900,1
53041972000,1
53043960100,5
53043960200,6
53043960300,5
53043960400,5
53045940000,1
53045960100,1
53045960200,1
53045960300,1
53045960400,1
53045960500,1
53045960600,1
53045960700,2
53045960800,2
53045960900,3
53045961000,2
53045961100,1
53045961200,1
53045961300,2
53047940100,4
53047940200,2
53047970300,1
53047970400,2
53047970500,1
53047970600,2
53047970700,4
53047970800,3
53047970900,1
53047971000,1
53049950200,1
53049950300,1
53049950400,2
53049950500,2
53049950600,2
53049950700,1
53049950800,1
53049990100,1
53051970100,4
53051970200,5
53051970300,5
53051970400,3
53051970500,2
53053060200,10
53053060300,5
53053060400,7
53053060500,8
53053060600,10
53053060700,8
53053060800,8
53053060903,3
53053060904,5
53053060905,5
53053060906,7
53053061001,5
53053061002,6
53053061100,8
53053061200,9
53053061300,10
53053061400,10
53053061500,10
53053061601,10
53053061602,10
53053061700,10
53053061800,9
53053061900,10
53053062000,10
53053062300,10
53053062400,9
53053062500,9
53053062600,8
53053062801,8
53053062802,8
53053062900,8
53053063000,8
53053063100,8
53053063200,8
53053063300,7
53053063400,6
53053063501,7
53053063502,6
53053070100,2
53053070203,3
53053070204,2
53053070205,3
53053070206,3
53053070207,4
53053070307,2
53053070308,4
53053070309,3
53053070310,2
53053070311,2
53053070312,3
53053070313,6
53053070314,6
53053070315,5
53053070316,6
53053070401,6
53053070403,4
53053070404,4
53053070703,7
53053071100,5
53053071205,7
53053071206,4
53053071207,6
53053071208,5
53053071209,5
53053071210,5
53053071304,4
53053071305,5
53053071306,5
53053071307,4
53053071309,5
53053071310,4
53053071403,4
53053071406,5
53053071407,5
53053071408,4
53053071409,5
53053071410,3
53053071411,3
53053071503,5
53053071504,7
53053071505,5
53053071506,4
53053071601,5
53053071602,5
53053071703,5
53053071704,6
53053071705,6
53053071706,6
53053071707,7
53053071803,6
53053071805,8
53053071806,6
53053071807,7
53053071808,6
53053071901,8
53053071902,8
53053072000,7
53053072105,7
53053072106,7
53053072107,8
53053072108,7
53053072109,7
53053072111,6
53053072112,7
53053072305,8
53053072307,6
53053072308,6
53053072309,6
53053072310,6
53053072311,5
53053072312,6
53053072313,7
53053072405,1
53053072406,1
53053072407,2
53053072408,2
53053072409,2
53053072410,2
53053072503,2
53053072504,3
53053072505,2
53053072506,2
53053072507,3
53053072601,1
53053072602,1
53053072603,1
53053072800,3
53053072901,5
53053072903,4
53053072905,5
53053072906,4
53053072907,4
53053073001,1
53053073005,1
53053073006,1
53053073108,6
53053073110,5
53053073111,6
53053073113,4
53053073114,3
53053073115,3
53053073116,3
53053073117,1
53053073118,2
53053073119,1
53053073120,5
53053073121,5
53053073122,5
53053073123,5
53053073124,4
53053073125,5
53053073126,5
53053073200,1
53053073301,9
53053073302,9
53053073404,9
53053073405,8
53053073406,8
53053073407,9
53053073408,9
53053073500,8
53053940001,8
53053940002,9
53053940003,8
53053940004,9
53053940005,8
53053940006,8
53053940007,10
53053940008,8
53053940009,8
53053940010,9
53053940011,8
53055960100,2
53055960300,1
53055960400,1
53055960500,1
53055990100,1
53057940200,2
53057940300,5
53057940400,4
53057940500,6
53057940600,8
53057940700,7
53057940800,3
53057950100,4
53057950800,2
53057950900,2
53057951000,3
53057951100,1
53057951200,2
53057951300,4
53057951400,5
53057951500,4
53057951600,3
53057951700,6
53057951800,6
53057951900,3
53057952100,8
53057952200,8
53057952301,3
53057952302,7
53057952401,8
53057952402,6
53057952500,9
53057952600,8
53057952700,5
53057990100,1
53059950100,1
53059950200,4
53059950300,3
53059950400,3
53059950500,1
53061040100,9
53061040200,7
53061040300,8
53061040400,8
53061040500,8
53061040700,7
53061040800,8
53061040900,8
53061041000,7
53061041100,5
53061041201,8
53061041202,4
53061041301,7
53061041303,8
53061041304,9
53061041400,6
53061041500,6
53061041601,3
53061041605,2
53061041606,2
53061041607,1
53061041608,1
53061041701,3
53061041703,3
53061041704,2
53061041805,4
53061041806,3
53061041808,3
53061041809,3
53061041810,3
53061041811,3
53061041812,3
53061041901,7
53061041903,7
53061041904,7
53061041905,4
53061042001,6
53061042003,4
53061042004,4
53061042005,3
53061042006,3
53061050101,5
53061050102,4
53061050200,5
53061050300,5
53061050401,5
53061050402,5
53061050500,5
53061050600,5
53061050700,4
53061050800,5
53061050900,4
53061051000,5
53061051100,5
53061051200,5
53061051300,3
53061051400,4
53061051500,6
53061051601,4
53061051602,5
53061051701,5
53061051702,3
53061051802,3
53061051803,3
53061051804,3
53061051905,3
53061051912,6
53061051913,3
53061051914,4
53061051915,3
53061051916,3
53061051917,4
53061051918,5
53061051921,3
53061051922,3
53061051923,3
53061051924,2
53061051925,5
53061051926,7
53061051927,3
53061051928,3
53061052003,1
53061052004,1
53061052005,1
53061052006,1
53061052007,2
53061052104,7
53061052105,2
53061052107,5
53061052108,5
53061052112,2
53061052113,1
53061052114,1
53061052115,1
53061052118,1
53061052203,1
53061052204,2
53061052206,1
53061052207,1
53061052208,2
53061052209,3
53061052301,1
53061052302,1
53061052401,2
53061052402,2
53061052502,2
53061052503,6
53061052504,7
53061052603,3
53061052604,7
53061052605,3
53061052606,2
53061052607,2
53061052701,3
53061052705,4
53061052706,6
53061052707,5
53061052708,2
53061052709,1
53061052803,2
53061052804,3
53061052805,4
53061052806,2
53061052903,7
53061052904,5
53061052905,6
53061052906,5
53061053101,2
53061053102,1
53061053201,2
53061053202,1
53061053301,3
53061053302,2
53061053400,1
53061053504,4
53061053505,1
53061053506,1
53061053507,3
53061053508,4
53061053509,3
53061053602,1
53061053603,1
53061053604,1
53061053700,1
53061053801,3
53061053802,3
53061053803,1
53061940001,5
53061940002,1
53061990002,1
53061990100,1
53063000200,10
53063000300,10
53063000400,9
53063000500,9
53063000600,9
53063000700,9
53063000800,9
53063000900,9
53063001000,10
53063001100,10
53063001200,10
53063001300,10
53063001400,10
53063001500,10
53063001600,10
53063001800,10
53063001900,10
53063002000,10
53063002100,10
53063002300,10
53063002400,10
53063002500,10
53063002600,10
53063002900,10
53063003000,10
53063003100,10
53063003200,10
53063003500,10
53063003600,9
53063003800,8
53063003900,6
53063004000,9
53063004100,9
53063004200,8
53063004300,7
53063004400,8
53063004500,9
53063004601,9
53063004602,8
53063004700,6
53063004800,3
53063004900,5
53063005000,4
53063010100,7
53063010201,2
53063010202,4
53063010301,2
53063010303,2
53063010304,1
53063010305,3
53063010401,4
53063010402,5
53063010501,6
53063010503,7
53063010504,3
53063010601,8
53063010602,7
53063010700,5
53063010800,8
53063010900,8
53063011000,8
53063011101,7
53063011102,7
53063011201,8
53063011202,9
53063011300,9
53063011400,9
53063011500,10
53063011600,10
53063011701,10
53063011702,8
53063011800,8
53063011900,9
53063012000,10
53063012100,10
53063012200,10
53063012300,10
53063012401,5
53063012402,3
53063012500,6
53063012600,6
53063012701,8
53063012702,5
53063012801,3
53063012802,4
53063012901,9
53063012902,8
53063013000,8
53063013100,9
53063013201,8
53063013202,8
53063013300,5
53063013401,5
53063013500,3
53063013600,5
53063013700,8
53063013800,5
53063013900,3
53063014001,5
53063014002,3
53063014100,5
53063014200,2
53063014300,7
53063014400,10
53063014500,10
53065941000,4
53065950100,2
53065950200,2
53065950300,4
53065950500,3
53065950600,1
53065950700,2
53065950800,2
53065950900,2
53065951100,1
53065951300,1
53065951400,3
53067010100,7
53067010200,6
53067010300,7
53067010400,6
53067010510,3
53067010520,6
53067010600,6
53067010700,4
53067010800,4
53067010910,5
53067010920,4
53067011000,4
53067011100,4
53067011200,4
53067011300,5
53067011410,3
53067011420,3
53067011500,3
53067011610,2
53067011621,2
53067011622,1
53067011623,1
53067011624,2
53067011710,3
53067011720,3
53067011810,2
53067011821,2
53067011822,3
53067011900,3
53067012000,3
53067012100,3
53067012211,3
53067012212,3
53067012221,1
53067012222,1
53067012310,1
53067012320,1
53067012330,1
53067012411,1
53067012412,1
53067012420,1
53067012510,1
53067012520,1
53067012530,1
53067012610,1
53067012620,6
53067012710,5
53067012720,6
53067012730,1
53067990100,1
53069950100,7
53071920000,9
53071920100,3
53071920200,3
53071920300,5
53071920400,7
53071920500,7
53071920600,6
53071920701,6
53071920702,5
53071920801,5
53071920802,6
53071920900,4
53073000100,8
53073000200,7
53073000300,9
53073000400,10
53073000501,10
53073000502,10
53073000600,9
53073000700,10
53073000803,9
53073000804,7
53073000805,7
53073000806,1
53073000901,9
53073000902,6
53073001000,10
53073001100,9
53073001201,8
53073001202,5
53073010100,1
53073010200,4
53073010301,4
53073010302,3
53073010303,3
53073010401,2
53073010403,1
53073010404,4
53073010501,4
53073010502,5
53073010600,5
53073010701,3
53073010702,3
53073010900,3
53073011000,1
53073940000,3
53075000100,7
53075000200,6
53075000300,5
53075000400,6
53075000500,5
53075000600,4
53075000700,5
53075000800,6
53075000900,6
53075001000,7
53077000100,9
53077000200,9
53077000300,8
53077000400,7
53077000500,8
53077000600,9
53077000700,9
53077000800,9
53077000901,6
53077000902,3
53077001000,8
53077001100,7
53077001201,9
53077001202,9
53077001300,8
53077001400,8
53077001501,9
53077001502,9
53077001601,5
53077001602,8
53077001701,4
53077001702,6
53077001800,4
53077001901,5
53077001902,4
53077002001,2
53077002002,2
53077002101,2
53077002102,4
53077002200,8
53077002701,2
53077002801,3
53077002802,4
53077002900,5
53077003001,2
53077003002,5
53077003100,5
53077003200,7
53077003400,5
53077940001,7
53077940002,8
53077940003,3
53077940004,8
53077940005,8
53077940006,8
