Sample ID,Collected by,Species,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter),Lab Name,Lab Notes,,,,,,,,,,,,,,,,,,,
UCP073,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP074,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP075,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP076,YH,River otter,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP077,YH,River otter,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP078,YH,River otter,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP079,YH,River otter,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP080,YH,River otter,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP081,YH,River otter,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP082,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP082,YH,River otter,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP083,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP084,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP085,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP086,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP087,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP088,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP089,YH,River otter,4/14/22,4,LWM,Seattle,47.56339,-122.26593,100,,C,,,,,,,,,,,,,,,,,,,,,,,,
UCP090,SK,River otter,4/13/22,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,,,,,,,,,,,,,,,,,,,,,,
UCP091,SK,River otter,4/13/22,4,MBB,Seattle,47.58025,-122.28403,100,C,C,,,,,,,,,,,,,,,,,,,,,,,,
UCP092,YH,River otter,4/14/22,4,LSM,Seattle,47.60105,-122.28529,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
