station,season,species,photodate,phototime
BGP2,Fall20,Didelphis virginiana,2020-10-26,21:35:02
BGP2,Fall20,Canis latrans,2020-10-27,12:24:24
BGP2,Fall20,Canis latrans,2020-10-27,13:13:08
BGP2,Fall20,Canis latrans,2020-10-27,13:53:03
BGP2,Fall20,Canis latrans,2020-10-27,14:24:31
BGP2,Fall20,Canis latrans,2020-10-27,14:59:55
BGP2,Fall20,Canis latrans,2020-10-27,15:45:04
BGP2,Fall20,Didelphis virginiana,2020-10-28,05:19:26
BGP2,Fall20,Canis latrans,2020-10-28,08:50:45
BGP2,Fall20,Procyon lotor,2020-10-04,00:43:41
BGP2,Fall20,Canis latrans,2020-10-04,02:55:17
BGP2,Fall20,Didelphis virginiana,2020-10-04,21:19:21
BGP2,Fall20,Didelphis virginiana,2020-10-04,21:48:54
BGP2,Fall20,Procyon lotor,2020-10-06,05:15:08
BGP2,Fall20,Canis latrans,2020-10-06,06:57:43
BRF1,Spring19,Procyon lotor,2019-04-05,22:18:35
BRF1,Spring19,Procyon lotor,2019-04-05,22:18:36
BRF1,Spring19,Procyon lotor,2019-04-24,21:57:31
BRF1,Spring19,Procyon lotor,2019-04-25,01:25:34
BRF1,Spring19,Procyon lotor,2019-04-25,01:25:34
BRF1,Spring19,Procyon lotor,2019-04-25,01:25:36
BRF1,Spring19,Procyon lotor,2019-04-25,01:25:38
BRF1,Spring19,Procyon lotor,2019-04-25,01:25:39
BRF1,Spring19,Procyon lotor,2019-04-25,01:25:32
BRF1,Spring19,Procyon lotor,2019-04-25,01:26:00
BRF1,Spring19,Procyon lotor,2019-04-25,01:26:00
BRF1,Spring19,Procyon lotor,2019-04-25,01:26:05
BRF1,Spring19,Procyon lotor,2019-04-25,01:26:06
BRF1,Spring19,Procyon lotor,2019-04-25,01:26:06
BRF1,Spring19,Procyon lotor,2019-04-05,22:18:35
BRF1,Spring19,Procyon lotor,2019-04-24,21:57:31
BRF1,Spring19,Procyon lotor,2019-04-25,01:25:32
DOS1,Spring19,Odocoileus hemionus,2019-04-24,20:33:19
DOS1,Fall19,Didelphis virginiana,2019-10-09,00:00:12
DOS1,Spring20,Odocoileus hemionus,2020-04-04,11:15:20
DOS1,Spring20,Didelphis virginiana,2020-04-22,04:48:25
DOS1,Summer20,Ursus americanus,2020-07-06,21:36:05
DOS1,Summer20,Didelphis virginiana,2020-07-13,00:28:26
DRP2,Summer19,Procyon lotor,2019-07-03,05:02:21
DRP2,Summer19,Procyon lotor,2019-07-03,06:04:45
DRP2,Summer19,Procyon lotor,2019-07-03,06:12:10
DRP2,Summer19,Procyon lotor,2019-07-03,06:13:16
DRP2,Summer19,Procyon lotor,2019-07-05,03:55:53
DRP2,Summer19,Procyon lotor,2019-07-05,04:05:21
DRP2,Summer19,Procyon lotor,2019-06-30,03:37:21
DRP2,Summer19,Procyon lotor,2019-06-30,04:50:11
DRP2,Summer19,Procyon lotor,2019-06-30,21:11:07
DRP2,Summer19,Procyon lotor,2019-06-30,21:18:24
DRP2,Summer19,Procyon lotor,2019-06-30,21:30:51
DRP2,Summer19,Procyon lotor,2019-07-02,03:49:05
DRP2,Summer19,Procyon lotor,2019-07-03,00:41:04
DRP2,Summer19,Procyon lotor,2019-07-03,00:42:14
DRP2,Summer19,Procyon lotor,2019-07-06,06:05:50
DRP2,Summer19,Procyon lotor,2019-07-07,04:27:18
DRP2,Summer19,Procyon lotor,2019-07-17,00:36:39
DRP2,Summer19,Procyon lotor,2019-07-17,00:41:27
DRP2,Summer19,Procyon lotor,2019-07-17,00:42:35
DRP2,Summer19,Procyon lotor,2019-07-17,00:59:47
DRP2,Summer19,Procyon lotor,2019-07-17,01:01:07
DRP2,Summer19,Procyon lotor,2019-07-17,01:08:38
DRP2,Summer19,Procyon lotor,2019-07-17,01:12:13
DRP2,Summer19,Procyon lotor,2019-07-17,01:15:14
DRP2,Summer19,Procyon lotor,2019-07-17,01:22:11
DRP2,Summer19,Procyon lotor,2019-07-18,02:34:59
DRP2,Summer19,Procyon lotor,2019-07-18,02:38:06
DRP2,Summer19,Procyon lotor,2019-07-21,02:33:41
DRP2,Summer19,Procyon lotor,2019-07-21,05:20:50
DRP2,Summer19,Procyon lotor,2019-07-24,02:37:51
DRP2,Summer19,Procyon lotor,2019-07-24,03:29:50
DRP2,Summer19,Procyon lotor,2019-07-24,03:31:06
DRP2,Summer19,Procyon lotor,2019-07-25,04:09:44
DRP2,Summer19,Procyon lotor,2019-07-25,04:19:23
DRP2,Summer19,Procyon lotor,2019-07-25,04:24:03
DRP2,Summer19,Procyon lotor,2019-07-26,01:35:09
DRP2,Summer19,Procyon lotor,2019-07-26,01:36:59
DRP2,Summer19,Procyon lotor,2019-07-27,04:43:19
DRP2,Summer19,Procyon lotor,2019-07-27,22:48:27
DRP2,Summer19,Procyon lotor,2019-07-28,02:42:57
DRP2,Summer19,Procyon lotor,2019-07-09,04:04:34
DRP2,Summer19,Procyon lotor,2019-07-09,04:07:41
DRP2,Summer19,Procyon lotor,2019-07-09,04:17:48
DRP2,Summer19,Didelphis virginiana,2019-07-10,05:20:34
DRP2,Summer19,Didelphis virginiana,2019-07-10,05:23:13
DRP2,Summer19,Procyon lotor,2019-07-10,22:45:55
DRP2,Summer19,Procyon lotor,2019-07-11,03:26:29
DRP2,Summer19,Procyon lotor,2019-07-12,03:05:06
DRP2,Summer19,Procyon lotor,2019-07-12,03:59:50
DRP2,Summer19,Procyon lotor,2019-07-12,23:08:54
DRP2,Summer19,Procyon lotor,2019-07-13,04:42:20
DRP2,Summer19,Procyon lotor,2019-07-13,04:43:52
DRP2,Summer19,Procyon lotor,2019-07-05,23:57:16
DRP2,Summer19,Procyon lotor,2019-07-14,03:05:49
DRP2,Summer19,Procyon lotor,2019-07-06,00:21:50
DRP2,Fall19,Procyon lotor,2019-10-06,00:23:09
DRP2,Fall19,Procyon lotor,2019-10-02,01:08:33
DRP2,Fall19,Procyon lotor,2019-10-02,03:59:31
DRP2,Fall19,Procyon lotor,2019-10-02,04:04:55
DRP2,Fall19,Procyon lotor,2019-10-08,22:46:14
DRP2,Fall19,Procyon lotor,2019-10-10,04:11:30
DRP2,Fall19,Procyon lotor,2019-10-10,04:12:57
DRP2,Fall19,Procyon lotor,2019-10-10,04:16:34
DRP2,Fall19,Procyon lotor,2019-10-10,11:15:30
DRP2,Fall19,Procyon lotor,2019-10-10,11:47:53
DRP2,Fall19,Procyon lotor,2019-10-10,11:50:46
DRP2,Fall19,Procyon lotor,2019-10-10,12:19:02
DRP2,Fall19,Procyon lotor,2019-10-10,12:54:10
DRP2,Fall19,Procyon lotor,2019-10-10,13:46:36
DRP2,Fall19,Procyon lotor,2019-10-10,13:51:42
DRP2,Fall19,Procyon lotor,2019-10-10,14:13:48
DRP2,Fall19,Procyon lotor,2019-10-10,19:12:23
DRP2,Fall19,Procyon lotor,2019-10-10,19:13:59
