station,season,species,capture.count
FGL1,Spring19,Odocoileus hemionus,0
FGL1,Spring19,Procyon lotor,3
FGL1,Spring19,Ursus americanus,0
FGL1,Fall19,Canis latrans,0
FGL1,Fall19,Didelphis virginiana,0
FGL1,Fall19,Lontra canadensis,0
FGL1,Fall19,Lynx rufus,0
FGL1,Fall19,Mephitis mephitis,0
FGL1,Fall19,Odocoileus hemionus,0
FGL1,Fall19,Procyon lotor,2
FGL1,Fall19,Ursus americanus,0
FGL1,Winter20,Canis latrans,0
FGL1,Winter20,Didelphis virginiana,0
FGL1,Winter20,Lontra canadensis,0
FGL1,Winter20,Lynx rufus,0
FGL1,Winter20,Mephitis mephitis,0
FGL1,Winter20,Odocoileus hemionus,0
FGL1,Winter20,Procyon lotor,1
FGL1,Winter20,Ursus americanus,0
FGL1,Spring20,Canis latrans,0
FGL1,Spring20,Didelphis virginiana,0
FGL1,Spring20,Lontra canadensis,0
FGL1,Spring20,Lynx rufus,0
FGL1,Spring20,Mephitis mephitis,0
FGL1,Spring20,Odocoileus hemionus,0
FGL1,Spring20,Procyon lotor,0
FGL1,Spring20,Ursus americanus,0
FGL1,Summer20,Canis latrans,0
FGL1,Summer20,Didelphis virginiana,0
FGL1,Summer20,Lontra canadensis,0
FGL1,Summer20,Lynx rufus,0
FGL1,Summer20,Mephitis mephitis,0
FGL1,Summer20,Odocoileus hemionus,0
FGL1,Summer20,Procyon lotor,0
FGL1,Summer20,Ursus americanus,0
FGL1,Fall20,Canis latrans,4
FGL1,Fall20,Didelphis virginiana,0
FGL1,Fall20,Lontra canadensis,0
FGL1,Fall20,Lynx rufus,0
FGL1,Fall20,Mephitis mephitis,0
FGL1,Fall20,Odocoileus hemionus,0
FGL1,Fall20,Procyon lotor,4
FGL1,Fall20,Ursus americanus,0
FRD1,Spring19,Canis latrans,4
FRD1,Spring19,Didelphis virginiana,0
FRD1,Spring19,Lontra canadensis,0
FRD1,Spring19,Lynx rufus,0
FRD1,Spring19,Mephitis mephitis,0
FRD1,Spring19,Odocoileus hemionus,4
FRD1,Spring19,Procyon lotor,0
FRD1,Spring19,Ursus americanus,0
FRD1,Summer19,Canis latrans,3
FRD1,Summer19,Didelphis virginiana,0
FRD1,Summer19,Lontra canadensis,0
FRD1,Summer19,Lynx rufus,1
FRD1,Summer19,Mephitis mephitis,0
FRD1,Summer19,Odocoileus hemionus,5
FRD1,Summer19,Procyon lotor,0
FRD1,Summer19,Ursus americanus,0
FRD1,Fall19,Canis latrans,1
FRD1,Fall19,Didelphis virginiana,0
FRD1,Fall19,Lontra canadensis,0
FRD1,Fall19,Lynx rufus,0
FRD1,Fall19,Mephitis mephitis,0
FRD1,Fall19,Odocoileus hemionus,6
FRD1,Fall19,Procyon lotor,0
FRD1,Fall19,Ursus americanus,0
FRD1,Winter20,Canis latrans,2
FRD1,Winter20,Didelphis virginiana,0
FRD1,Winter20,Lontra canadensis,0
FRD1,Winter20,Lynx rufus,2
FRD1,Winter20,Mephitis mephitis,0
FRD1,Winter20,Odocoileus hemionus,12
FRD1,Winter20,Procyon lotor,1
FRD1,Winter20,Ursus americanus,0
FRD1,Summer20,Canis latrans,1
FRD1,Summer20,Didelphis virginiana,5
FRD1,Summer20,Lontra canadensis,0
FRD1,Summer20,Lynx rufus,0
FRD1,Summer20,Mephitis mephitis,0
FRD1,Summer20,Odocoileus hemionus,15
FRD1,Summer20,Procyon lotor,0
FRD1,Summer20,Ursus americanus,0
FRD1,Fall20,Canis latrans,1
FRD1,Fall20,Didelphis virginiana,3
FRD1,Fall20,Lontra canadensis,0
FRD1,Fall20,Lynx rufus,0
FRD1,Fall20,Mephitis mephitis,0
FRD1,Fall20,Odocoileus hemionus,2
FRD1,Fall20,Procyon lotor,1
FRD1,Fall20,Ursus americanus,0
HCN1,Spring19,Canis latrans,0
HCN1,Spring19,Didelphis virginiana,0
HCN1,Spring19,Lontra canadensis,0
HCN1,Spring19,Lynx rufus,0
HCN1,Spring19,Mephitis mephitis,0
HCN1,Spring19,Odocoileus hemionus,0
HCN1,Spring19,Procyon lotor,26
HCN1,Spring19,Ursus americanus,0
HCN1,Summer19,Canis latrans,0
HCN1,Summer19,Didelphis virginiana,0
HCN1,Summer19,Lontra canadensis,0
HCN1,Summer19,Lynx rufus,0
HCN1,Summer19,Mephitis mephitis,0
HCN1,Summer19,Odocoileus hemionus,0
HCN1,Summer19,Procyon lotor,0
HCN1,Summer19,Ursus americanus,0
HCN1,Fall19,Canis latrans,0
HCN1,Fall19,Didelphis virginiana,0
HCN1,Fall19,Lontra canadensis,1
HCN1,Fall19,Lynx rufus,0
HCN1,Fall19,Mephitis mephitis,0
HCN1,Fall19,Odocoileus hemionus,0
HCN1,Fall19,Procyon lotor,7
HCN1,Fall19,Ursus americanus,0
HCN1,Winter20,Canis latrans,0
HCN1,Winter20,Didelphis virginiana,0
HCN1,Winter20,Lontra canadensis,0
HCN1,Winter20,Lynx rufus,0
HCN1,Winter20,Mephitis mephitis,0
HCN1,Winter20,Odocoileus hemionus,0
HCN1,Winter20,Procyon lotor,4
HCN1,Winter20,Ursus americanus,0
HCN1,Summer20,Canis latrans,0
HCN1,Summer20,Didelphis virginiana,0
HCN1,Summer20,Lontra canadensis,0
HCN1,Summer20,Lynx rufus,0
HCN1,Summer20,Mephitis mephitis,0
HCN1,Summer20,Odocoileus hemionus,0
HCN1,Summer20,Procyon lotor,0
HCN1,Summer20,Ursus americanus,0
HFW1,Spring19,Canis latrans,0
HFW1,Spring19,Didelphis virginiana,1
HFW1,Spring19,Lontra canadensis,0
HFW1,Spring19,Lynx rufus,0
HFW1,Spring19,Mephitis mephitis,0
HFW1,Spring19,Odocoileus hemionus,0
HFW1,Spring19,Procyon lotor,2
HFW1,Spring19,Ursus americanus,0
HFW1,Summer19,Canis latrans,5
HFW1,Summer19,Didelphis virginiana,2
HFW1,Summer19,Lontra canadensis,0
HFW1,Summer19,Lynx rufus,0
HFW1,Summer19,Mephitis mephitis,0
HFW1,Summer19,Odocoileus hemionus,0
HFW1,Summer19,Procyon lotor,2
HFW1,Summer19,Ursus americanus,0
HFW1,Fall19,Canis latrans,2
HFW1,Fall19,Didelphis virginiana,6
HFW1,Fall19,Lontra canadensis,0
HFW1,Fall19,Lynx rufus,0
HFW1,Fall19,Mephitis mephitis,0
HFW1,Fall19,Odocoileus hemionus,0
HFW1,Fall19,Procyon lotor,3
HFW1,Fall19,Ursus americanus,0
HFW1,Winter20,Canis latrans,4
HFW1,Winter20,Didelphis virginiana,0
HFW1,Winter20,Lontra canadensis,0
HFW1,Winter20,Lynx rufus,0
HFW1,Winter20,Mephitis mephitis,0
HFW1,Winter20,Odocoileus hemionus,0
HFW1,Winter20,Procyon lotor,5
HFW1,Winter20,Ursus americanus,0
HFW1,Summer20,Canis latrans,4
HFW1,Summer20,Didelphis virginiana,14
HFW1,Summer20,Lontra canadensis,0
HFW1,Summer20,Lynx rufus,0
HFW1,Summer20,Mephitis mephitis,0
HFW1,Summer20,Odocoileus hemionus,1
HFW1,Summer20,Procyon lotor,15
HFW1,Summer20,Ursus americanus,0
HFW1,Fall20,Canis latrans,4
HFW1,Fall20,Didelphis virginiana,21
HFW1,Fall20,Lontra canadensis,0
HFW1,Fall20,Lynx rufus,0
HFW1,Fall20,Mephitis mephitis,0
HFW1,Fall20,Odocoileus hemionus,0
HFW1,Fall20,Procyon lotor,17
