"Species","Season","Site","City","Long","Lat","Crs","Y","J"
"black_bear","AP21","H01-WWD1","mela",-118.258224630545,34.2166156128012,4326,0,0
"black_bear","AP21","IRC01","mela",-117.741002107635,33.7706931019229,4326,0,12
"black_bear","AP21","IRC02","mela",-117.725352442072,33.7679631324207,4326,0,19
"black_bear","AP21","IRC03","mela",-117.70310242313,33.7608586520145,4326,0,20
"black_bear","AP21","IRC04","mela",-117.683025810735,33.7523311501139,4326,0,11
"black_bear","AP21","IRC05","mela",-117.668010332756,33.7457933323806,4326,0,25
"black_bear","AP21","IRC06","mela",-117.65291929031,33.734681392118,4326,0,39
"black_bear","AP21","IRC07","mela",-117.647482937262,33.7194406856853,4326,0,39
"black_bear","AP21","LCW01","mela",-118.103818257156,33.7494209993989,4326,0,0
"black_bear","AP21","LCW02","mela",-118.092815323921,33.7501502018805,4326,0,0
"black_bear","AP21","LWNT01","mela",-118.101598547285,33.8526132877927,4326,0,0
"black_bear","AP21","LWNT02","mela",-118.094765039834,33.8363506519015,4326,0,0
"black_bear","AP21","OAK","mela",-117.800078847996,33.810656727064,4326,0,47
"black_bear","AP21","OCP02","mela",-117.763152792082,33.784486154091,4326,0,32
"black_bear","AP21","OCP03","mela",-117.760563878081,33.77282775396,4326,0,39
"black_bear","AP21","PW01","mela",-117.783430530526,33.7933888902747,4326,0,39
"black_bear","AP21","SA","mela",-117.89618484066,33.8108616802827,4326,0,0
"black_bear","AP21","AB","oaca",-122.23759206133,37.7958657993226,4326,0,42
"black_bear","AP21","BT","oaca",-122.09740635098,37.7419690199507,4326,0,21
"black_bear","AP21","CB","oaca",-122.180357276432,37.8031425300903,4326,0,22
"black_bear","AP21","CR","oaca",-122.14567780309,37.7547667792989,4326,0,54
"black_bear","AP21","DK","oaca",-122.208999467716,37.7429510227403,4326,0,30
"black_bear","AP21","DY","oaca",-122.182986945156,37.786126255935,4326,0,24
"black_bear","AP21","EN","oaca",-122.207928967575,37.7305057750575,4326,0,0
"black_bear","AP21","GT","oaca",-122.118850501284,37.7597967922203,4326,0,12
"black_bear","AP21","H18","oaca",-122.122814313447,37.7423411144696,4326,0,28
"black_bear","AP21","HBT","oaca",-122.108203455865,37.7284415340914,4326,0,34
"black_bear","AP21","HT","oaca",-122.125204310399,37.775526734824,4326,0,30
"black_bear","AP21","MA","oaca",-122.196682191804,37.7232191910638,4326,0,38
"black_bear","AP21","MT","oaca",-122.140306141679,37.7922217636344,4326,0,31
"black_bear","AP21","MY","oaca",-122.209320587315,37.7778336851881,4326,0,0
"black_bear","AP21","PER","oaca",-122.199497428839,37.7146758889934,4326,0,44
"black_bear","AP21","WP","oaca",-122.140161391856,37.7537352285561,4326,0,25
"black_bear","AP21","BGP1","sewa",-122.28342,47.66681,4326,0,0
"black_bear","AP21","BRF1","sewa",-122.24035,47.47522,4326,0,0
"black_bear","AP21","DOS1","sewa",-121.96749,47.74577,4326,0,0
"black_bear","AP21","DRP2","sewa",-122.36046,47.64354,4326,0,0
"black_bear","AP21","DSP1","sewa",-122.41942,47.6598,4326,0,0
"black_bear","AP21","DWP1","sewa",-122.32024,47.53195,4326,0,0
"black_bear","AP21","FGL1","sewa",-122.26262,47.48434,4326,0,0
"black_bear","AP21","FRD1","sewa",-122.00792,47.75103,4326,0,0
"black_bear","AP21","HCN1","sewa",-122.30736,47.51622,4326,0,0
"black_bear","AP21","HFW1","sewa",-122.19162,47.70676,4326,0,0
"black_bear","AP21","IRP1","sewa",-122.28101,47.69055,4326,0,0
"black_bear","AP21","JBP1","sewa",-122.203475,47.695583,4326,0,0
"black_bear","AP21","LTP1","sewa",-122.39368,47.65483,4326,0,0
"black_bear","AP21","LWP2","sewa",-122.34483,47.66921,4326,0,0
"black_bear","AP21","MBC1","sewa",-122.08888,47.70461,4326,0,0
"black_bear","AP21","MGP1","sewa",-122.25092,47.68166,4326,0,0
"black_bear","AP21","MPO1","sewa",-122.11071,47.44997,4326,0,0
"black_bear","AP21","MSR1","sewa",-122.3086,47.54984,4326,0,0
"black_bear","AP21","MWP1","sewa",-122.3184906,47.5609279,4326,0,0
"black_bear","AP21","NRP1","sewa",-122.17331,47.68709,4326,0,0
"black_bear","AP21","PGP2","sewa",-122.35852,47.55669,4326,0,0
"black_bear","AP21","PHY1","sewa",-122.3596,47.6708,4326,0,0
"black_bear","AP21","RHF1","sewa",-122.01764,47.7406,4326,0,0
"black_bear","AP21","RVP1","sewa",-122.311193,47.673535,4326,0,0
"black_bear","AP21","RWP1","sewa",-122.043494,47.711603,4326,0,0
"black_bear","AP21","SVP1","sewa",-122.15123,47.70675,4326,0,0
"black_bear","AP21","SWD1","sewa",-122.10428,47.71029,4326,0,0
"black_bear","AP21","TCC1","sewa",-122.17861,47.46189,4326,0,0
"black_bear","AP21","TMF1","sewa",-121.94978,47.42278,4326,0,0
"black_bear","AP21","TMP1","sewa",-122.35082,47.56718,4326,0,0
"black_bear","AP21","TRN1","sewa",-122.04184,47.42001,4326,0,0
"black_bear","AP21","WCP2","sewa",-122.33736,47.52699,4326,0,0
"black_bear","AP21","WDG1","sewa",-122.34569,47.54149,4326,0,0
"black_bear","AP21","B-TP","tawa",-122.5523396,47.25251065,4326,0,0
"black_bear","AP21","G-CBP1","tawa",-122.4268266,47.18831902,4326,0,36
"black_bear","AP21","G-CLP2","tawa",-122.5104948,47.24560424,4326,0,35
"black_bear","AP21","G-FP1","tawa",-122.4800131,47.24660376,4326,0,36
"black_bear","AP21","G-IP","tawa",-122.4630498,47.23565994,4326,0,36
"black_bear","AP21","G-JP","tawa",-122.4897943,47.25735582,4326,0,36
"black_bear","AP21","G-KP","tawa",-122.508394,47.26985488,4326,0,33
"black_bear","AP21","G-OTP","tawa",-122.4768246,47.18791936,4326,0,0
"black_bear","AP21","G-SB","tawa",-122.5299695,47.2982002,4326,0,36
"black_bear","AP21","G-SERA","tawa",-122.4911899,47.20279106,4326,0,34
"black_bear","AP21","G-SP","tawa",-122.4808199,47.21085216,4326,0,0
"black_bear","AP21","G-TNC2","tawa",-122.4903011,47.2403511,4326,0,36
"black_bear","AP21","G-VP","tawa",-122.5200163,47.27989233,4326,0,36
"black_bear","AP21","G-WLP2","tawa",-122.4715401,47.17765031,4326,0,36
"black_bear","AP21","G-WP2","tawa",-122.4584696,47.1983578,4326,0,0
"black_bear","AP21","P-BLP","tawa",-122.2828362,47.16167334,4326,0,34
"black_bear","AP21","P-CCP","tawa",-122.3202249,47.18142814,4326,0,29
"black_bear","AP21","P-CUP","tawa",-122.4713203,47.27292925,4326,0,37
"black_bear","AP21","P-DPV","tawa",-122.5443941,47.31742483,4326,0,36
